ID,Name,Metabolism,Environmental Information Processing,Organismal Systems,Human Diseases,Genetic Information Processing,Cellular Processes
map02026,Biofilm formation - Escherichia coli,0,0,0,0,0,1
map00280,Valine; leucine and isoleucine degradation,1,0,0,0,0,0
map00290,Valine; leucine and isoleucine biosynthesis,1,0,0,0,0,0
map00960,Tropane; piperidine and pyridine alkaloid biosynthesis,1,0,0,0,0,0
map00966,Glucosinolate biosynthesis,1,0,0,0,0,0
map05131,Shigellosis,0,0,0,1,0,0
map00051,Fructose and mannose metabolism,1,0,0,0,0,0
map00640,Propanoate metabolism,1,0,0,0,0,0
map00643,Styrene degradation,1,0,0,0,0,0
map04922,Glucagon signaling pathway,0,0,1,0,0,0
map01065,Biosynthesis of alkaloids derived from histidine and purine,0,0,0,0,0,0
map00780,Biotin metabolism,1,0,0,0,0,0
map01523,Antifolate resistance,0,0,0,1,0,0
map00052,Galactose metabolism,1,0,0,0,0,0
map00521,Streptomycin biosynthesis,1,0,0,0,0,0
map00562,Inositol phosphate metabolism,1,0,0,0,0,0
map01250,Biosynthesis of nucleotide sugars,0,0,0,0,0,0
map04070,Phosphatidylinositol signaling system,0,1,0,0,0,0
map04810,Regulation of actin cytoskeleton,0,0,0,0,0,1
map04911,Insulin secretion,0,0,1,0,0,0
map04970,Salivary secretion,0,0,1,0,0,0
map04971,Gastric acid secretion,0,0,1,0,0,0
map04972,Pancreatic secretion,0,0,1,0,0,0
map00333,Prodigiosin biosynthesis,1,0,0,0,0,0
map00401,Novobiocin biosynthesis,1,0,0,0,0,0
map00404,Staurosporine biosynthesis,1,0,0,0,0,0
map00600,Sphingolipid metabolism,1,0,0,0,0,0
map04071,Sphingolipid signaling pathway,0,1,0,0,0,0
map00311,Penicillin and cephalosporin biosynthesis,1,0,0,0,0,0
map01063,Biosynthesis of alkaloids derived from shikimate pathway,0,0,0,0,0,0
